Tanggal,Produk,Kategori,Harga,Jumlah,Wilayah
2026-04-26,Meja,Furnitur,1000000,1,Sidoarjo
2026-04-27,Keyboard,Elektronik,250000,10,Pasuruan
2026-04-28,Kursi,Furnitur,500000,2,Sidoarjo
2026-04-29,Laptop,Elektronik,8000000,2,Pasuruan
2026-04-30,Rak,Furnitur,700000,4,Malang
2026-05-01,Kursi,Furnitur,500000,8,Gresik
2026-05-02,Keyboard,Elektronik,250000,6,Gresik
2026-05-03,Meja,Furnitur,1000000,10,Mojokerto
2026-05-04,Mouse,Elektronik,150000,1,Sidoarjo
2026-05-05,Keyboard,Elektronik,250000,10,Surabaya
2026-05-06,Mouse,Elektronik,150000,5,Malang
2026-05-07,Kursi,Furnitur,500000,8,Mojokerto
2026-05-08,Lampu,Furnitur,200000,7,Gresik
2026-05-09,Printer,Elektronik,2500000,9,Surabaya
2026-05-10,Meja,Furnitur,1000000,7,Surabaya
2026-05-11,Monitor,Elektronik,2000000,10,Malang
2026-05-12,Rak,Furnitur,700000,5,Surabaya
2026-05-13,Printer,Elektronik,2500000,7,Mojokerto
2026-05-14,Laptop,Elektronik,8000000,1,Sidoarjo
2026-05-15,Monitor,Elektronik,2000000,4,Sidoarjo
2026-05-16,Monitor,Elektronik,2000000,5,Gresik
2026-05-17,Mouse,Elektronik,150000,1,Malang
2026-05-18,Kursi,Furnitur,500000,3,Sidoarjo
2026-05-19,Kursi,Furnitur,500000,9,Pasuruan
2026-05-20,Printer,Elektronik,2500000,9,Mojokerto
